x	y	showSelected1	group
-1.77147	0.98304	20	-1
-1.594323	0.786432	20	-1
-1.4348907	0.6291456	20	-1
-1.29140163	0.50331648	20	-1
-1.162261467	0.402653184	20	-1
-1.0460353203	0.3221225472	20	-1
-0.94143178827	0.25769803776	20	-1
-0.847288609443	0.206158430208	20	-1
-0.7625597484987	0.1649267441664	20	-1
-0.68630377364883	0.13194139533312	20	-1
-0.617673396283947	0.105553116266496	20	-1
-0.555906056655552	0.0844424930131968	20	-1
-0.500315450989997	0.0675539944105575	20	-1
-0.450283905890997	0.054043195528446	20	-1
-0.405255515301898	0.0432345564227568	20	-1
-3	3	21	-1
-2.7	2.4	21	-1
-2.43	1.92	21	-1
-2.187	1.536	21	-1
-1.9683	1.2288	21	-1
-1.77147	0.98304	21	-1
-1.594323	0.786432	21	-1
-1.4348907	0.6291456	21	-1
-1.29140163	0.50331648	21	-1
-1.162261467	0.402653184	21	-1
-1.0460353203	0.3221225472	21	-1
-0.94143178827	0.25769803776	21	-1
-0.847288609443	0.206158430208	21	-1
-0.7625597484987	0.1649267441664	21	-1
-0.68630377364883	0.13194139533312	21	-1
-0.617673396283947	0.105553116266496	21	-1
-0.555906056655552	0.0844424930131968	21	-1
-0.500315450989997	0.0675539944105575	21	-1
-0.450283905890997	0.054043195528446	21	-1
-0.405255515301898	0.0432345564227568	21	-1
-0.364729963771708	0.0345876451382054	21	-1
-3	3	22	-1
-2.7	2.4	22	-1
-2.43	1.92	22	-1
-2.187	1.536	22	-1
-1.9683	1.2288	22	-1
-1.77147	0.98304	22	-1
-1.594323	0.786432	22	-1
-1.4348907	0.6291456	22	-1
-1.29140163	0.50331648	22	-1
-1.162261467	0.402653184	22	-1
-1.0460353203	0.3221225472	22	-1
-0.94143178827	0.25769803776	22	-1
-0.847288609443	0.206158430208	22	-1
-0.7625597484987	0.1649267441664	22	-1
-0.68630377364883	0.13194139533312	22	-1
-0.617673396283947	0.105553116266496	22	-1
-0.555906056655552	0.0844424930131968	22	-1
-0.500315450989997	0.0675539944105575	22	-1
-0.450283905890997	0.054043195528446	22	-1
-0.405255515301898	0.0432345564227568	22	-1
-0.364729963771708	0.0345876451382054	22	-1
-0.328256967394537	0.0276701161105643	22	-1
-3	3	23	-1
-2.7	2.4	23	-1
-2.43	1.92	23	-1
-2.187	1.536	23	-1
-1.9683	1.2288	23	-1
-1.77147	0.98304	23	-1
-1.594323	0.786432	23	-1
-1.4348907	0.6291456	23	-1
-1.29140163	0.50331648	23	-1
-1.162261467	0.402653184	23	-1
-1.0460353203	0.3221225472	23	-1
-0.94143178827	0.25769803776	23	-1
-0.847288609443	0.206158430208	23	-1
-0.7625597484987	0.1649267441664	23	-1
-0.68630377364883	0.13194139533312	23	-1
-0.617673396283947	0.105553116266496	23	-1
-0.555906056655552	0.0844424930131968	23	-1
-0.500315450989997	0.0675539944105575	23	-1
-0.450283905890997	0.054043195528446	23	-1
-0.405255515301898	0.0432345564227568	23	-1
-0.364729963771708	0.0345876451382054	23	-1
-0.328256967394537	0.0276701161105643	23	-1
-0.295431270655083	0.0221360928884515	23	-1
-3	3	24	-1
-2.7	2.4	24	-1
-2.43	1.92	24	-1
-2.187	1.536	24	-1
-1.9683	1.2288	24	-1
-1.77147	0.98304	24	-1
-1.594323	0.786432	24	-1
-1.4348907	0.6291456	24	-1
-1.29140163	0.50331648	24	-1
-1.162261467	0.402653184	24	-1
-1.0460353203	0.3221225472	24	-1
-0.94143178827	0.25769803776	24	-1
-0.847288609443	0.206158430208	24	-1
-0.7625597484987	0.1649267441664	24	-1
-0.68630377364883	0.13194139533312	24	-1
-0.617673396283947	0.105553116266496	24	-1
-0.555906056655552	0.0844424930131968	24	-1
-0.500315450989997	0.0675539944105575	24	-1
-0.450283905890997	0.054043195528446	24	-1
-0.405255515301898	0.0432345564227568	24	-1
-0.364729963771708	0.0345876451382054	24	-1
-0.328256967394537	0.0276701161105643	24	-1
-0.295431270655083	0.0221360928884515	24	-1
-0.265888143589575	0.0177088743107612	24	-1
-3	3	25	-1
-2.7	2.4	25	-1
-2.43	1.92	25	-1
-2.187	1.536	25	-1
-1.9683	1.2288	25	-1
-1.77147	0.98304	25	-1
-1.594323	0.786432	25	-1
-1.4348907	0.6291456	25	-1
-1.29140163	0.50331648	25	-1
-1.162261467	0.402653184	25	-1
-1.0460353203	0.3221225472	25	-1
