x	y	group
1	18.81	-1
2	13.2777	-1
3	9.501561	-1
4	6.89410377	-1
5	5.0708412441	-1
6	3.778816409577	-1
7	2.85055969294521	-1
8	2.17437312804584	-1
9	1.67511089084367	-1
10	1.30171576214436	-1
11	1.01911036929596	-1
12	0.802900584383506	-1
13	0.635899031913059	-1
14	0.505829933329526	-1
15	0.403803345184083	-1
16	0.323292613078894	-1
17	0.259442634820968	-1
18	0.208596929870304	-1
19	0.167970486420752	-1
20	0.135420556865324	-1
21	0.109283907294203	-1
22	0.0882596488976095	-1
23	0.0713237133602192	-1
24	0.0576655823837971	-1
25	0.0466408814505681	-1
26	0.0377354401955634	-1
27	0.0305377553395924	-1
28	0.0247176930450289	-1
29	0.0200098825472472	-1
30	0.0162006776189655	-1
31	0.013117859435007	-1
32	0.0106224649030884	-1
33	0.0086022757783706	-1
34	0.00696661407287633	-1
35	0.00564217064216335	-1
36	0.00456965469575778	-1
37	0.00370109804795129	-1
